Codigo,Fabricante,Descricao dos Produtos,UN,EAN/GTIN,Quantidade,Valor,Contar Nome,Contar Barcode,EAN SEARCH,TÍTULO
6696,CHIBRALI,100 LAMP C/PISCA 2 FASES COL 127V,UN-UN,SEM GTIN,,"5,50",1,,,
6699,CHIBRALI,100 LAMP GRAO DE ARROZ 8 FUNC AZ 127V,UN-UN,SEM GTIN,,"14,50",1,,,
6700,CHIBRALI,100 LAMP GRAO DE ARROZ 8 FUNC COL 127V,UN-UN,7899432848549,331,"14,50",1,1,https://www.ean-search.org/?q=7899432848549,
6697,CHIBRALI,100 LAMP GRAO DE ARROZ 8 FUNC VERDE 127V,UN-UN,SEM GTIN,,"14,50",1,,,
6698,CHIBRALI,100 LAMP GRAO DE ARROZ 8 FUNC VM 127V,UN-UN,SEM GTIN,,"14,50",1,,,
13380,CHIBRALI,100 LAMP GRAO DE ARROZ LILAS 127V,UN-UN,SEM GTIN,,"7,90",1,,,
13353,CHIBRALI,100 LED ROXO 8F TRANSP 127V,UN-UN,6968000860168,,"18,90",1,1,https://www.ean-search.org/?q=6968000860168,
6706,CHIBRALI,100 LEDS AZ 8F TRANSP,UN-UN,7899432848242,119,"18,90",1,1,https://www.ean-search.org/?q=7899432848242,
6707,CHIBRALI,100 LEDS BR 8F TRANSP 127V,UN-UN,7899432848204,5,"18,90",1,1,https://www.ean-search.org/?q=7899432848204,
3112,CHIBRALI,100 LEDS C/LAMPADAS AMARELA 127V,UN-UN,SEM GTIN,,"18,90",1,,,
6705,CHIBRALI,100 LEDS VERDE 8F TRANSP 127V,UN-UN,7899432885551,25,"18,90",1,1,https://www.ean-search.org/?q=7899432885551,
6704,CHIBRALI,100 LEDSCOLOR 8F TRANSP 127V,UN-UN,7899432847023,23,"18,90",1,1,https://www.ean-search.org/?q=7899432847023,
20469,LORENZETTI,1195 TORNEIRA LAVATORIO TRIO,UN-UN,7896451857965,6,"195,00",1,1,https://www.ean-search.org/?q=7896451857965,
14970,CHIBRALI,120 LAMPADAS LED REDE AZ/ESTRELA,UN-UN,7899432848280,32,"49,00",1,1,https://www.ean-search.org/?q=7899432848280,
571,DELTA,1509 REGISTRO DE GAVETA C-23 1/2,UN-UN,7899075130018,8,"55,00",1,1,https://www.ean-search.org/?q=7899075130018,
573,DELTA,1509 REGISTRO DE GAVETA C-23 3/4,UN-UN,7899075130025,7,"62,00",1,1,https://www.ean-search.org/?q=7899075130025,
564,DELTA,1509 REGISTRO DE GAVETA C-50 1/2,UN-UN,7899075130322,11,"59,00",1,1,https://www.ean-search.org/?q=7899075130322,
8583,DELTA,1509 REGISTRO DE GAVETA C-50 3/4,UN-UN,7899075130339,4,"69,00",1,1,https://www.ean-search.org/?q=7899075130339,
4358,CENSI,1ETENTOR DO EIXO DOCOL 1.1/4,UN-UN,7898128472006,10,"2,50",1,1,https://www.ean-search.org/?q=7898128472006,
20303,LUDCEL,1P2ST X JACK P2ST EXTENS�O 1.8M,UN-UN,SEM GTIN,,"4,50",1,,,
20302,LUDCEL,1P2ST X P2ST 1.8M 2M,UN-UN,SEM GTIN,6,"3,90",1,,,
19142,ILUMI,2 INT C/TOM FIX BIP 6/10A C/PL 4X2 STYLU,UN-UN,7898493991331,70,"14,90",2,1,https://www.ean-search.org/?q=7898493991331,
19143,ILUMI,2 INT C/TOM FIX BIP 6/10A C/PL 4X2 STYLU,UN-UN,7898493992925,34,"15,90",2,1,https://www.ean-search.org/?q=7898493992925,
10376,FAME,2 INT C/TOMAD 2P+T EXT FAME,UN-UN,7896039713447,39,"25,90",1,1,https://www.ean-search.org/?q=7896039713447,
7642,FAME,2 INT PARAL C/TOM SIMP (0677),UN-UN,SEM GTIN,,"17,90",1,,,
1178,FAME,2 INT PARALELO 10A 250V (0947),UN-UN,SEM GTIN,1,"12,50",1,,,
19147,ILUMI,2 INT SIMPL C/TOM FIX BIP 6/10A C/PL 4X2,UN-UN,7898493990952,1,"9,50",1,1,https://www.ean-search.org/?q=7898493990952,
1327,PERLEX (TRADICAO),2 INTER C/TOM ABNT 10 AMP (5382/11),UN-UN,SEM GTIN,,"10,90",1,,,
4736,PERLEX (TRADICAO),2 INTER PARALELO,UN-UN,SEM GTIN,,"10,50",1,,,
1360,PERLEX (TRADICAO),2 INTER SIMP C/TOM 20 AMP (4382/15),UN-UN,7891128483249,123,"22,50",1,1,https://www.ean-search.org/?q=7891128483249,
1371,PERLEX (TRADICAO),2 INTER SIMP C/TOM 20A N.PAD (282/15),UN-UN,7891128283245,21,"9,90",1,1,https://www.ean-search.org/?q=7891128283245,
1330,PERLEX (TRADICAO),2 INTER SIMPL 1 INTER PARAL (5382/1P),UN-UN,SEM GTIN,,"6,50",1,,,
16237,PERLEX (TRADICAO),2 INTER SIMPL 10 AMP AROS EXT (3282),UN-UN,7891128032829,37,"10,50",1,1,https://www.ean-search.org/?q=7891128032829,
8436,PERLEX (TRADICAO),2 INTER SIMPL C/TOM 20 AMP,UN-UN,7891128382245,4,"10,90",1,1,https://www.ean-search.org/?q=7891128382245,
1408,PERLEX (TRADICAO),2 INTER SIMPL SOBREPOR 10A (172),UN-UN,7891128001726,82,"7,90",1,1,https://www.ean-search.org/?q=7891128001726,
1159,FAME,2 TECLAS SIMP 1 PARALELA 10A/250V 0660,UN-UN,SEM GTIN,,"17,90",1,,,
1328,PERLEX (TRADICAO),2 TECLAS SIMPLES 1 TOM ABNT 10A 20A 5382,PC-PC,SEM GTIN,,"10,90",1,,,
16181,PERLEX (TRADICAO),2 TECLAS SIMPLES C/TOMADA N PAD 10A/20A,PC-PC,7891128258731,6,"18,90",1,1,https://www.ean-search.org/?q=7891128258731,
15276,PERLEX (TRADICAO),2 TECLAS SIMPLES E TOMADA ABNT 20A,UN-UN,7891128288530,10,"18,50",1,1,https://www.ean-search.org/?q=7891128288530,
